target,metric,baseline,model,model_minus_baseline,improvement_pct
solar_daily_kwh_m2_day,mae,1.3406081196836588,1.3977117368373884,0.05710361715372958,-4.259530903572644
solar_daily_kwh_m2_day,rmse,1.6966875537241015,1.821733251069375,0.12504569734527338,-7.369989664320191
solar_daily_kwh_m2_day,nrmse,0.16476160555367,0.1769045188537435,0.012142913300073499,-7.369989664320202
solar_daily_kwh_m2_day,medae,1.1278848379629627,1.1294929581733966,0.0016081202104338832,-0.1425784048430209
solar_daily_kwh_m2_day,smape,27.182302651410666,30.804015680887453,3.621713029476787,-13.32379039377973
solar_daily_kwh_m2_day,r2,-0.11388502689549207,-0.28412171079665116,-0.1702366839011591,
wind_daily_mean_ms,mae,0.873304641745892,0.6845077079613516,-0.18879693378454032,21.618679754993806
wind_daily_mean_ms,rmse,1.1741113295062122,0.884882955397845,-0.2892283741083672,24.633811704210874
wind_daily_mean_ms,nrmse,0.17641071728807864,0.13295403336528558,-0.04345668392279306,24.633811704210867
wind_daily_mean_ms,medae,0.6503883987160111,0.552064806147984,-0.09832359256802703,15.11767318761163
wind_daily_mean_ms,smape,38.17993801645272,33.44115411218521,-4.738783904267507,12.411711884459956
wind_daily_mean_ms,r2,-0.234771579928865,0.298642045252147,0.533413625181012,
