target,metric,baseline,model,model_minus_baseline,improvement_pct
solar_generation_kwh_day,mae,233.54748129394275,243.49550843417381,9.948027140231062,-4.259530903572657
solar_generation_kwh_day,rmse,295.58011688646883,317.3643409507871,21.784224064318266,-7.369989664320182
solar_generation_kwh_day,nrmse,0.16476160555366998,0.17690451885374345,0.012142913300073471,-7.369989664320187
solar_generation_kwh_day,medae,196.48893604943584,196.76908684014802,0.2801507907121845,-0.1425784048429575
solar_generation_kwh_day,smape,27.182302651410666,30.80401568088746,3.621713029476794,-13.323790393779756
solar_generation_kwh_day,r2,-0.11388502689549207,-0.2841217107966507,-0.17023668390115865,
wind_generation_kwh_day,mae,4297.198227593058,3220.01607198085,-1077.1821556122077,25.067080887621927
wind_generation_kwh_day,rmse,6415.694604110552,5374.135743018379,-1041.5588610921732,16.23454552255096
wind_generation_kwh_day,nrmse,0.09531241925039985,0.07983888115854906,-0.015473538091850786,16.23454552255096
wind_generation_kwh_day,medae,3015.222138690851,2036.5142531142749,-978.707885576576,32.45889823565409
wind_generation_kwh_day,smape,81.56243215865568,73.70444249122471,-7.857989667430971,9.634324847186468
wind_generation_kwh_day,r2,-0.1200708370986665,0.21408534333038132,0.3341561804290478,
hybrid_generation_kwh_day,mae,4333.153921123789,3252.0850348452645,-1081.0688862785241,24.94877647914599
hybrid_generation_kwh_day,rmse,6450.438356736116,5396.51096052236,-1053.9273962137559,16.338849205700136
hybrid_generation_kwh_day,nrmse,0.09473999755400896,0.07926057221617544,-0.015479425337833516,16.338849205700132
hybrid_generation_kwh_day,medae,3039.7719253714226,2079.999662116898,-959.7722632545247,31.57382484007422
hybrid_generation_kwh_day,smape,65.78450185119443,54.417573244308684,-11.36692860688575,17.27903729148534
hybrid_generation_kwh_day,r2,-0.12643675679627342,0.21158571975989893,0.33802247655617235,
