model,metric_group,target,mae,rmse,nrmse,r2,bias,medae,smape,balanced_nrmse_group
baseline,physical,solar_daily_kwh_m2_day,1.3406081196836588,1.6966875537241015,0.16476160555367,-0.11388502689549207,0.15052374554900672,1.1278848379629627,27.182302651410666,0.1725276800432758
baseline,physical,wind_daily_mean_ms,0.873304641745892,1.1741113295062122,0.17641071728807864,-0.234771579928865,0.4113900123109029,0.6503883987160111,38.17993801645272,0.1725276800432758
baseline,physical,wind_daily_mean_hub_height_ms,1.3976667330763608,1.8790880841972917,0.17641071728807867,-0.234771579928865,0.6584027005482571,1.0409039240268632,38.17993801645272,0.1725276800432758
baseline,energy,solar_generation_kwh_day,233.54748129394275,295.58011688646883,0.16476160555367,-0.11388502689549207,26.222757517085736,196.48893604943584,27.182302651410666,0.11827134078602626
baseline,energy,wind_generation_kwh_day,4297.198227593058,6415.694604110552,0.09531241925039985,-0.1200708370986665,840.6854086466686,3015.222138690851,81.56243215865571,0.11827134078602626
baseline,energy,hybrid_generation_kwh_day,4333.153921123789,6450.438356736116,0.09473999755400896,-0.12643675679627342,866.9081661637543,3039.7719253714226,65.78450185119443,0.11827134078602626
random_forest,physical,solar_daily_kwh_m2_day,1.3977117368373884,1.821733251069375,0.1769045188537435,-0.28412171079665116,-0.1280377279142602,1.1294929581733966,30.804015680887453,0.14760419519477155
random_forest,physical,wind_daily_mean_ms,0.6845077079613517,0.884882955397845,0.13295403336528558,0.298642045252147,0.18582444330530584,0.552064806147984,33.44115411218521,0.14760419519477155
random_forest,physical,wind_daily_mean_hub_height_ms,1.0955096380104985,1.4161970637798675,0.1329540333652856,0.29864204525214677,0.2973998192440982,0.883543470595457,33.44115411218521,0.14760419519477155
random_forest,energy,solar_generation_kwh_day,243.49550843417381,317.3643409507871,0.17690451885374348,-0.2841217107966507,-22.3054660239047,196.7690868401479,30.80401568088746,0.112001324076156
random_forest,energy,wind_generation_kwh_day,3220.01607198085,5374.135743018379,0.07983888115854906,0.21408534333038132,-640.3365475340133,2036.5142531142749,73.70444249122471,0.112001324076156
random_forest,energy,hybrid_generation_kwh_day,3252.0850348452645,5396.51096052236,0.07926057221617544,0.21158571975989893,-662.6420135579181,2079.9996621168984,54.417573244308684,0.112001324076156
mlp,physical,solar_daily_kwh_m2_day,1.411619030660532,1.821717156268373,0.17690295592293262,-0.2840990207655094,-0.13883288926796294,1.12815487511472,30.25558080925977,0.1510598049145917
mlp,physical,wind_daily_mean_ms,0.7215184728470637,0.9193866601871367,0.13813822941042123,0.24288044452727153,0.18778137989889512,0.5976597257279468,34.899331235285,0.1510598049145917
mlp,physical,wind_daily_mean_hub_height_ms,1.154742936877496,1.471417977590048,0.13813822941042123,0.24288044452727142,0.3005317677588015,0.9565151453672813,34.899331235285,0.1510598049145917
mlp,energy,solar_generation_kwh_day,245.91829955136953,317.36153707381465,0.17690295592293262,-0.2840990207655094,-24.18609221682521,196.53597924999733,30.25558080925977,0.11385978712190176
mlp,energy,wind_generation_kwh_day,3503.713493261642,5574.322646280544,0.08281288463432827,0.15444409048161156,-284.11653923714294,2226.7378275830156,78.01359031719872,0.11385978712190176
mlp,energy,hybrid_generation_kwh_day,3505.0101468612474,5573.734518403625,0.08186352080844438,0.15895174694616332,-308.3026314539682,2218.077838315044,56.458175609592956,0.11385978712190176
