month,hist_solar_irradiation_global_month_mean,hist_solar_irradiation_global_month_median,hist_solar_irradiation_global_month_std,hist_solar_irradiation_global_month_count,hist_wind_speed_global_month_mean,hist_wind_speed_global_month_median,hist_wind_speed_global_month_std,hist_wind_speed_global_month_count
1,5.694969137962315,5.999833333333334,1.698665304348047,4287,2.7813240614918118,2.771428571428572,1.0735078715374888,4287
2,5.641372814012703,5.950027777777778,1.6597598809328609,3971,2.6708340007032105,2.658333333333333,0.9995991603528992,3971
3,5.653314064354648,5.953888888888889,1.6258605048131711,4306,2.481772865942435,2.4250000000000003,0.9420885674250691,4306
4,5.154661758463334,5.454847222222222,1.567681008866059,4188,2.457790751879311,2.421395881006865,0.9328029103867503,4188
5,4.535727180225022,4.674833333333334,1.4535402828916248,4286,2.5699627013049176,2.595833333333333,1.0172430152661984,4286
6,4.27378532261137,4.39475,1.4322688178243892,4083,2.765722829142311,2.8166666666666664,1.0779024224622953,4083
7,4.351419301944249,4.437027777777778,1.456111993478484,4269,2.9919352891817863,3.1208333333333336,1.1254581587003618,4269
8,5.075274668564249,5.304972222222222,1.5226856412458398,4333,3.0979067192144343,3.2291666666666665,1.16866604015804,4333
9,5.737324873030681,6.0415,1.5536225648393496,4288,3.275479752764405,3.3829710144927536,1.1486392820541882,4288
10,5.9966129895387885,6.316277777777778,1.5973705876157358,4599,3.238213712612459,3.275,1.1295044387568185,4599
11,6.167321284094011,6.536111111111111,1.6181755322238545,4477,3.126051361140454,3.108333333333333,1.0134273902308393,4477
12,5.821799131534369,6.185444444444445,1.6998699743794674,4657,2.925323909946726,2.9166666666666665,1.0261357905259638,4657
