station_code,month,hist_solar_irradiation_station_month_mean,hist_solar_irradiation_station_month_median,hist_solar_irradiation_station_month_std,hist_solar_irradiation_station_month_count,hist_wind_speed_station_month_mean,hist_wind_speed_station_month_median,hist_wind_speed_station_month_std,hist_wind_speed_station_month_count
A301,1,6.202661695906433,6.414305555555556,1.5037714693867499,380,1.6853597800322178,1.7916666666666667,0.7771672173144366,380
A301,2,6.219480024968789,6.316458333333333,1.4744371397982554,356,1.8314591054918075,1.8520833333333333,0.5709033906627151,356
A301,3,6.060320344287949,6.215527777777778,1.2744094005833992,355,1.586618081671979,1.5333333333333332,0.4263123173452341,355
A301,4,5.7112750332668,5.897611111111111,1.3774868316112232,334,1.4119479633206982,1.3791666666666669,0.3525189875841795,334
A301,5,5.256534861509074,5.380027777777777,1.4864081121428656,349,1.3345783329434724,1.2916666666666667,0.33161600741210456,349
A301,6,4.950186626746507,4.933291666666666,1.6354553167844814,334,1.4223332444896415,1.34375,0.4515801597403405,334
A301,7,4.956079739442947,4.880083333333333,1.5983360121894226,371,1.5757352078984723,1.5125,0.4591643405474775,371
A301,8,5.446814495530012,5.504416666666667,1.2979371966472966,348,1.6296546480229455,1.5750000000000002,0.38362108312950105,348
A301,9,6.081310967844635,6.239638888888889,1.228912375140421,349,1.931038506632111,1.866666666666667,0.4733879240825674,349
A301,10,6.298428413120567,6.448888888888889,1.2537837251176471,376,2.0027355616481453,1.93125,0.47027611313807244,376
A301,11,6.613472672672672,6.660902777777778,1.097136287716776,370,2.0171435714370496,1.9354166666666666,0.4612663055996604,370
A301,12,6.3840501443001445,6.496333333333333,1.3238358489856727,385,1.8519937968240356,1.8875,0.6775083914352212,385
A307,1,4.696129098360656,5.251736111111111,2.396608916183178,488,3.285452298106467,3.321195652173913,0.7556008931392401,488
A307,2,4.5536950562897704,4.863944444444445,2.336209503784501,454,3.161281498778349,3.1666666666666665,0.7246536338642652,454
A307,3,4.110191953649556,4.7466388888888895,2.328574548204681,513,2.991943771758043,3.0416666666666665,0.7425068900795874,513
A307,4,3.6024143468950753,4.19125,2.201555074064247,467,3.188881028533034,3.233333333333333,0.7699199887167353,467
A307,5,3.2498317030348636,3.5485,1.824028415376286,443,3.649417487685821,3.7347826086956526,0.7379852045798527,443
A307,6,3.2120257847533633,3.5015694444444447,1.8060189432064266,446,3.913192259725931,4.016666666666667,0.7094919348203309,446
A307,7,3.412005282890252,3.824972222222222,1.828732126494062,489,4.095142782844473,4.0625,0.6738723409829088,489
A307,8,4.096657532051283,4.604166666666666,2.094451372819763,520,4.170660290129828,4.216666666666667,0.6661216851670305,520
A307,9,4.47366512345679,5.080069444444444,2.4479158656599496,504,4.185774733083729,4.252083333333333,0.7137726248351715,504
A307,10,4.669430769230769,5.342805555555556,2.5155017861320927,520,3.9711397061909515,4.070833333333334,0.8281374103349558,520
A307,11,4.727836382789976,5.301972222222222,2.5080420741638627,501,3.613599828918797,3.6166666666666663,0.7384856278698754,501
A307,12,4.565014932562621,5.066277777777778,2.392363907465345,519,3.33406772936696,3.404166666666667,0.7866493511933511,519
A309,1,5.886022952529995,6.117444444444445,1.2753833732434048,426,3.3287557578569626,3.3375,0.765019526285575,426
A309,2,5.672901851851852,5.888152777777778,1.4642487378984148,390,3.151467674157643,3.127083333333333,0.723581895235196,390
A309,3,5.878255503144654,5.955166666666667,1.1559184766074546,424,2.840048959819007,2.7729166666666663,0.7219837531034795,424
A309,4,5.375693905070119,5.509541666666666,1.1123950449106896,412,2.8736209865548226,2.8895833333333334,0.7080956381332904,412
A309,5,4.58156700895208,4.758263888888889,1.147280874873283,422,3.0652914912262226,3.0520833333333335,0.7280817851384691,422
A309,6,4.299040812452543,4.404861111111111,1.1255698794155098,439,3.3171602957394226,3.266666666666667,0.7314564603073231,439
A309,7,4.5041912837345,4.565083333333333,1.1226018665085566,457,3.509899572827734,3.475,0.7480181641143625,457
A309,8,5.1700858111632755,5.345263888888889,1.1956260154333647,426,3.556266014267058,3.5270833333333336,0.7275077426366126,426
A309,9,6.032148078529657,6.378611111111111,1.146198049693391,399,3.7335066419131127,3.738095238095238,0.6565732488821728,399
A309,10,6.275046732026143,6.664777777777778,1.272310495028641,425,3.8221960855906616,3.8958333333333335,0.7604545692882717,425
A309,11,6.272466937669377,6.557805555555555,1.2491657271293033,410,3.705881023146033,3.695643939393939,0.6646988757303176,410
A309,12,5.864646078431372,6.22625,1.3275042874846976,425,3.4480755536743906,3.466666666666667,0.6693292096540836,425
A322,1,5.562421257391846,5.886638888888888,1.523448632793281,357,2.474112202401243,2.8208333333333333,1.5257744103198414,357
A322,2,5.61505997664331,5.841777777777779,1.315500966311015,333,2.1732217381130425,2.5625,1.484424831861793,333
A322,3,5.639499512670565,5.748472222222222,1.3621339614216508,342,2.2607406794286535,2.5625,1.3900742295508006,342
A322,4,5.1538647991211555,5.306166666666666,1.177523876402679,354,2.1024120760718037,2.183333333333333,1.0449565985599862,354
