station_code,month,hist_solar_irradiation_station_month_mean,hist_solar_irradiation_station_month_median,hist_solar_irradiation_station_month_std,hist_solar_irradiation_station_month_count,hist_wind_speed_station_month_mean,hist_wind_speed_station_month_median,hist_wind_speed_station_month_std,hist_wind_speed_station_month_count
A301,1,6.178643932935493,6.390638888888889,1.5148024037218057,391,1.678085384013562,1.7833333333333332,0.7704491855325851,391
A301,2,6.2043373448380255,6.302638888888889,1.4687273716998641,367,1.816942490288926,1.8416666666666668,0.5709288917827858,367
A301,3,6.046499848208865,6.185208333333334,1.2709711529363905,366,1.5813362345647417,1.5291666666666668,0.4248490236884814,366
A301,4,5.6925826892109495,5.887138888888889,1.3807057568796421,345,1.4100983847260278,1.3791666666666669,0.35194431548126265,345
A301,5,5.2683478395061725,5.383583333333333,1.4902110502608596,360,1.3366963759448027,1.3,0.3310719447069194,360
A301,6,4.977927616747182,4.962416666666667,1.6290872386004815,345,1.4213335653827703,1.3416666666666668,0.4471296048851072,345
A301,7,4.985033013379872,4.9584166666666665,1.5936234101780056,382,1.5722999881247812,1.5083333333333335,0.4573136185265928,382
A301,8,5.461499148870319,5.525138888888889,1.2983855691311652,359,1.6260848478248686,1.5791666666666666,0.38124936108946655,359
A301,9,6.065634567901235,6.207736111111111,1.2383876861026477,360,1.9148850813633254,1.8583333333333334,0.4773341093750497,360
A301,10,6.261507895492392,6.405833333333334,1.2712877863567986,387,1.9827988154343086,1.9083333333333328,0.48007340273099836,387
A301,11,6.574149168853894,6.640361111111111,1.1301762645011697,381,2.0007381014955476,1.925,0.4674663822189973,381
A301,12,6.372182841068917,6.485666666666667,1.316559510117496,395,1.8406669496470558,1.8791666666666669,0.6737463375264231,395
A307,1,4.680928641732284,5.194652777777779,2.354082636303465,508,3.2773468067828215,3.317028985507246,0.7707891229356231,508
A307,2,4.5360549695264885,4.790930555555557,2.293833931416646,474,3.1612004487213214,3.1687499999999997,0.7368759725445367,474
A307,3,4.123037907268171,4.740930555555556,2.2928407505758144,532,3.003107092417201,3.057246376811594,0.7606645534842746,532
A307,4,3.6312270233196156,4.2191527777777775,2.1722530925390604,486,3.187648507018068,3.240398550724638,0.7781631346991146,486
A307,5,3.2906691264698824,3.564388888888889,1.805162665920494,463,3.6210186621427978,3.6916666666666655,0.7671311494922651,463
A307,6,3.2695463161659517,3.581083333333333,1.7982652961472703,466,3.8721411697528882,3.9625000000000004,0.7617345212615994,466
A307,7,3.4401691224623447,3.8337777777777777,1.8146605076775852,509,4.052836669835597,4.029166666666667,0.7224838409561091,509
A307,8,4.108281944444444,4.604166666666666,2.0635610860531504,540,4.125955019084736,4.2,0.7139413467410126,540
A307,9,4.471834823329076,5.063305555555555,2.4127691412973453,522,4.150985605853892,4.210416666666667,0.7403505437971178,522
A307,10,4.659114351851851,5.297402777777778,2.473930593527648,540,3.933583521211409,4.039583333333334,0.8578515957039204,540
