station_code,hist_solar_irradiation_station_mean,hist_solar_irradiation_station_median,hist_solar_irradiation_station_std,hist_solar_irradiation_station_count,hist_wind_speed_station_mean,hist_wind_speed_station_median,hist_wind_speed_station_std,hist_wind_speed_station_count
A301,5.853390641430074,6.0486666666666675,1.484554217275978,4438,1.6877428002570434,1.6583333333333332,0.5501278019855189,4438
A307,4.141867401880398,4.522680555555556,2.275721683163257,6098,3.611324684885622,3.6625,0.8611337906350169,6098
A309,5.381693203798136,5.574388888888889,1.488598991957161,5687,3.29279455102642,3.325,0.8478285694537205,5687
A322,5.167575450826051,5.349527777777777,1.5650535427647636,4997,2.3092197896495428,2.380952380952381,1.3037134127886698,4997
A328,5.555105494902839,5.792666666666666,1.2234169105642019,4763,3.1591635481559357,3.408333333333333,1.3476292063495285,4763
A329,5.853563457281983,6.0528055555555556,1.4128559963178284,5020,2.8021348724544803,2.970833333333333,1.5674239955885867,5020
A341,5.279304948864621,5.27275,1.5111518058473903,4487,3.0348248908885687,3.0125,0.7710442745526603,4487
A349,5.938348015529592,6.121513888888889,1.3614306271510002,4622,2.9326788152389183,2.895833333333333,0.7365601807389534,4622
A350,5.723702513227513,5.946958333333333,1.3765098012648869,4410,2.4998499684625966,2.395833333333333,0.7120240760273813,4410
A351,5.368638773014034,5.847222222222222,2.026924381981037,4315,3.093192783155356,3.1,0.7237928945476139,4315
A357,4.642428927592734,4.9875,1.6481404644634379,3933,2.1174710287447587,2.1083333333333334,0.40163491838879023,3933
A366,5.584222046227854,5.762180555555556,1.3415830987706607,3788,3.0588075424329078,2.975,0.8703087946851216,3788
A370,5.459932851396478,5.668777777777778,1.5036404257117753,1464,2.3258506506357937,2.2775,0.8950955444938341,1464
