target,metric,baseline,model,model_minus_baseline,improvement_pct
solar_generation_kwh_day,mae,233.54748129394275,245.91829955136947,12.37081825742672,-5.296917863933978
solar_generation_kwh_day,rmse,295.58011688646883,317.36153707381465,21.781420187345816,-7.369041062972438
solar_generation_kwh_day,nrmse,0.16476160555366998,0.1769029559229326,0.012141350369262616,-7.369041062972437
solar_generation_kwh_day,medae,196.48893604943584,196.53597924999713,0.04704320056129063,-0.02394190813342017
solar_generation_kwh_day,smape,27.182302651410666,30.25558080925977,3.073278157849103,-11.306172980491079
solar_generation_kwh_day,r2,-0.11388502689549207,-0.2840990207655094,-0.17021399387001734,
wind_generation_kwh_day,mae,4297.198227593058,3503.713493261642,-793.4847343314159,18.465164795896833
wind_generation_kwh_day,rmse,6415.694604110552,5574.322646280544,-841.3719578300079,13.11427693723044
wind_generation_kwh_day,nrmse,0.09531241925039985,0.08281288463432827,-0.012499534616071575,13.114276937230443
wind_generation_kwh_day,medae,3015.222138690851,2226.7378275830156,-788.4843111078353,26.15012343502424
wind_generation_kwh_day,smape,81.56243215865568,78.01359031719872,-3.5488418414569622,4.351074076057144
wind_generation_kwh_day,r2,-0.1200708370986665,0.15444409048161156,0.27451492758027807,
hybrid_generation_kwh_day,mae,4333.153921123789,3505.0101468612474,-828.1437742625412,19.11180145771893
hybrid_generation_kwh_day,rmse,6450.438356736116,5573.734518403625,-876.7038383324907,13.591383869546778
hybrid_generation_kwh_day,nrmse,0.09473999755400896,0.08186352080844438,-0.01287647674556458,13.591383869546773
hybrid_generation_kwh_day,medae,3039.7719253714226,2218.077838315044,-821.6940870563785,27.031438779933385
hybrid_generation_kwh_day,smape,65.78450185119443,56.458175609592956,-9.326326241601478,14.177087276115236
hybrid_generation_kwh_day,r2,-0.12643675679627342,0.15895174694616343,0.28538850374243685,
