target,mae,rmse,nrmse,r2,bias,medae,smape
solar_generation_kwh_day,245.91829955136947,317.36153707381465,0.1769029559229326,-0.2840990207655094,-24.186092216825205,196.53597924999713,30.25558080925977
wind_generation_kwh_day,3503.713493261642,5574.322646280544,0.08281288463432827,0.15444409048161156,-284.1165392371429,2226.7378275830156,78.01359031719872
hybrid_generation_kwh_day,3505.0101468612474,5573.734518403625,0.08186352080844438,0.15895174694616343,-308.3026314539682,2218.077838315044,56.458175609592956
